3000.10,0.37,0.47
3300.10,0.38,0.45
3600.10,0.36,0.44
3900.10,0.35,0.43
4200.10,0.34,0.41
4500.10,0.35,0.41
4800.10,0.35,0.41
5100.10,0.36,0.41
5400.10,0.35,0.41
5700.10,0.38,0.43
6000.10,0.42,0.46
6300.10,0.39,0.48
6600.10,0.37,0.48
6900.10,0.36,0.47
7200.10,0.37,0.46
7500.10,0.34,0.44
7800.10,0.35,0.43
8100.10,0.36,0.42
8400.10,0.34,0.40
8700.10,0.34,0.39
9000.10,0.36,0.40
9300.10,0.37,0.42
9600.10,0.35,0.42
9900.10,0.36,0.43
10200.10,0.38,0.44
10500.10,0.35,0.43
10800.10,0.35,0.43
11100.10,0.34,0.43
11400.10,0.33,0.41
11700.10,0.36,0.41
12000.10,0.34,0.40
12300.10,0.38,0.42
12600.10,0.41,0.45
12900.10,0.42,0.48
13200.10,0.37,0.49
13500.10,0.39,0.49
13800.10,0.37,0.48
14100.10,0.38,0.48
14400.10,0.38,0.47
14700.10,0.39,0.46
15000.10,0.36,0.44
15300.10,0.09,0.29
15600.10,0.37,0.32
15900.10,0.38,0.36
16200.10,0.38,0.38
16500.10,0.38,0.41
16800.10,0.34,0.41
17100.10,0.38,0.44
17400.10,0.34,0.45
17700.10,0.33,0.46
18000.10,0.35,0.48
18300.10,0.39,0.42
18600.10,0.35,0.42
18900.10,0.38,0.43
19200.10,0.44,0.47
19500.10,0.47,0.52
19800.10,0.48,0.57
20100.10,0.43,0.58
20400.10,0.10,0.42
20700.10,0.41,0.43
21000.10,0.40,0.43
21300.10,0.40,0.43
21600.10,0.39,0.42
21900.10,0.38,0.41
22200.10,0.37,0.42
22500.10,0.37,0.44
22800.10,0.42,0.50
23100.10,0.38,0.53
23400.10,0.37,0.45
23700.10,0.39,0.46
24000.10,0.37,0.46
24300.10,0.39,0.46
24600.10,0.41,0.48
24900.10,0.41,0.49
25200.10,0.45,0.51
25500.10,0.40,0.51
25800.10,0.41,0.52
26100.10,0.38,0.50
26400.10,0.38,0.48
26700.10,0.41,0.48
27000.10,0.39,0.46
27300.10,0.37,0.45
27600.10,0.37,0.43
27900.10,0.36,0.42
28200.10,0.36,0.42
28500.10,0.35,0.42
28800.10,0.37,0.42
29100.10,0.40,0.44
29400.10,0.39,0.45
29700.10,0.39,0.46
30000.10,0.37,0.47
30300.10,0.40,0.48
30600.10,0.37,0.47
30900.10,0.37,0.47
31200.10,0.39,0.46
31500.10,0.40,0.46
31800.10,0.40,0.47
32100.10,0.39,0.47
32400.10,0.38,0.47
32700.10,0.40,0.47
33000.10,0.42,0.49
33300.10,0.41,0.50
33600.10,0.41,0.50
33900.10,0.41,0.50
34200.10,0.41,0.50
34500.10,0.40,0.50
34800.10,0.40,0.50
35100.10,0.39,0.49
35400.10,0.39,0.47
35700.10,0.40,0.47
36000.10,0.44,0.49
36300.10,0.42,0.50
36600.10,0.44,0.51
36900.10,0.43,0.52
37200.10,0.41,0.52
37500.10,0.41,0.52
37800.10,0.43,0.52
38100.10,0.39,0.50
38400.10,0.10,0.34
38700.10,0.40,0.35
39000.10,0.43,0.39
39300.10,0.41,0.41
39600.10,0.39,0.43
39900.10,0.38,0.45
40200.10,0.38,0.46
40500.10,0.37,0.48
40800.10,0.38,0.50
41100.10,0.39,0.52
41400.10,0.39,0.45
41700.10,0.40,0.45
42000.10,0.39,0.46
42300.10,0.41,0.48
42600.10,0.41,0.49
42900.10,0.40,0.50
43200.10,0.40,0.49
43500.10,0.40,0.49
43800.10,0.41,0.49
44100.10,0.42,0.49
44400.10,0.41,0.49
44700.10,0.40,0.49
45000.10,0.39,0.48
45300.10,0.40,0.48
45600.10,0.40,0.48
45900.10,0.42,0.49
46200.10,0.42,0.49
46500.10,0.41,0.49
46800.10,0.41,0.49
47100.10,0.42,0.50
47400.10,0.40,0.50
47700.10,0.39,0.49
48000.10,0.37,0.46
48300.10,0.38,0.45
48600.10,0.13,0.32
48900.10,0.40,0.35
49200.10,0.40,0.38
49500.10,0.40,0.41
49800.10,0.39,0.43
50100.10,0.38,0.45
50400.10,0.36,0.46
50700.10,0.40,0.49
51000.10,0.38,0.50
51300.10,0.10,0.37
51600.10,0.36,0.32
51900.10,0.37,0.34
52200.10,0.40,0.38
52500.10,0.41,0.42
52800.10,0.40,0.46
53100.10,0.39,0.48
53400.10,0.38,0.50
53700.10,0.37,0.51
54000.10,0.35,0.52
54300.10,0.37,0.45
54600.10,0.42,0.46
54900.10,0.41,0.46
55200.10,0.38,0.46
55500.10,0.36,0.45
55800.10,0.35,0.45
56100.10,0.37,0.45
56400.10,0.10,0.32
56700.10,0.40,0.35
57000.10,0.40,0.37
57300.10,0.43,0.41
57600.10,0.42,0.46
57900.10,0.38,0.48
58200.10,0.39,0.50
58500.10,0.40,0.52
58800.10,0.40,0.53
59100.10,0.36,0.53
59400.10,0.35,0.43
59700.10,0.40,0.44
60000.10,0.37,0.43
60300.10,0.37,0.43
60600.10,0.40,0.45
60900.10,0.40,0.46
61200.10,0.41,0.48
61500.10,0.37,0.47
61800.10,0.38,0.48
62100.10,0.38,0.47
62400.10,0.37,0.45
62700.10,0.36,0.45
63000.10,0.37,0.44
63300.10,0.39,0.44
63600.10,0.37,0.43
63900.10,0.36,0.43
64200.10,0.39,0.45
64500.10,0.37,0.45
64800.10,0.36,0.44
65100.10,0.39,0.46
